"dataset1","dataset2","distance"
breast-tissue,wine-quality-white,7.409394625649607
breast-tissue,wine,3.339865569462011
breast-tissue,zoo,5.977218919262644
car,abalone,5.662132089039487
car,artificial-characters,9.499771460689155
car,balance-scale,3.4437362402377656
car,breast-tissue,2.8799722976663844
car,car,0.0
car,cardiotocography,6.683093485152037
car,cmc,5.908839801065867
car,cnae-9,7.57687882215834
car,collins,7.5747961932101004
car,covertype,9.370288642543587
car,desharnais,3.468617147095147
car,diggle_table_a2,4.624528426075842
car,ecoli,5.346379657532542
car,energy-efficiency,7.199473335708523
car,eye_movements,9.198492783113865
car,fabert,9.174122204903526
car,fars,9.303793622096219
car,fashion-mnist,9.363872913222
car,gas-drift-different-concentrations,6.869990274783492
car,gas-drift,6.823708389769254
car,gina_prior2,8.37888838013274
car,glass,4.060249729857254
car,har,6.9469057823532205
car,hayes-roth,2.9964396625804572
car,heart-long-beach,5.7249176300484805
car,heart-switzerland,5.440193495713396
car,helena,9.35604694932293
car,indian_pines,9.244920762644856
car,iris,6.2446751215511185
car,jannis,9.383241833508707
car,japanesevowels,5.967433033844585
car,jungle_chess_2pcs_endgame_panther_elephant,6.74746798433603
car,jungle_chess_2pcs_raw_endgame_complete,8.820861579513535
car,leaf,7.073086568877593
car,led-display-domain-7digit,6.588272354065281
car,mfeat-factors,4.623892854593847
car,mfeat-fourier,3.808687266965227
car,mfeat-karhunen,3.05198526117202
car,mfeat-morphological,5.170090582945914
car,mfeat-pixel,5.060576725307796
car,microaggregation2,8.024108606765557
car,nursery,6.304046922113401
car,page-blocks,6.31736274995816
car,pokerhand,9.372183749820946
car,popularkids,4.933746059179113
car,prnn_fglass,4.060249729857275
car,prnn_viruses,5.548579844436458
car,rmftsa_sleepdata,3.4220627187419494
car,robot-failures-lp1,4.204514362859591
car,robot-failures-lp5,4.5485504312516944
car,satimage,7.609104182920469
car,seeds,5.530479227416151
car,segment,5.1781880478601385
car,seismic-bumps,5.530479227416151
car,semeion,4.799584816237884
car,shuttle,9.366741991176081
car,spectrometer,6.401935891534996
car,steel-plates-fault,4.460573322472626
car,synthetic_control,6.495213127626869
car,tae,4.284501816717896
car,tamilnadu-electricity,9.045716275781492
car,teachingassistant,5.159042049799085
car,thyroid-allbp,4.564385188532196
car,thyroid-allhyper,4.564385188532196
car,user-knowledge,5.673812438193793
car,vehicle,5.65177273842091
car,vertebra-column,5.623693901318773
car,volcanoes-a1,4.652730000150839
car,volcanoes-a3,4.159026984185543
car,volcanoes-a4,3.3348851736783875
car,volcanoes-d1,9.370281862991982
car,wall-robot-navigation,4.322501800541984
car,waveform-5000,7.726919657474496
car,wine-quality-white,7.942829375924579
car,wine,4.005458737559511
car,zoo,6.599469557748428
cardiotocography,abalone,6.730224211015781
cardiotocography,artificial-characters,9.441784032932114
cardiotocography,balance-scale,5.878246464658659
cardiotocography,breast-tissue,6.116070479760554
cardiotocography,car,6.683093485152037
cardiotocography,cardiotocography,0.0
cardiotocography,cmc,4.967696907451949
cardiotocography,cnae-9,7.278785509676498
cardiotocography,collins,8.098169190319304
cardiotocography,covertype,9.657759680653864
cardiotocography,desharnais,6.346555405680049
cardiotocography,diggle_table_a2,6.542152173224831
cardiotocography,ecoli,5.613336566157807
cardiotocography,energy-efficiency,7.968277284079293
cardiotocography,eye_movements,9.031101060903454
cardiotocography,fabert,9.614460735660316
cardiotocography,fars,9.659904088134525
cardiotocography,fashion-mnist,9.63804008944429
cardiotocography,gas-drift-different-concentrations,7.108202949010401
cardiotocography,gas-drift,7.2771295511800735
cardiotocography,gina_prior2,8.27694501977936
cardiotocography,glass,4.675401338469379
cardiotocography,har,8.708567069547655
cardiotocography,hayes-roth,5.778564121027449
cardiotocography,heart-long-beach,4.856412809113311
cardiotocography,heart-switzerland,4.680380908139571
cardiotocography,helena,9.655235936510262
cardiotocography,indian_pines,8.746360230005553
cardiotocography,iris,6.158040817700404
cardiotocography,jannis,9.659543669978621
cardiotocography,japanesevowels,6.594208713707747
cardiotocography,jungle_chess_2pcs_endgame_panther_elephant,3.3607983258950993
cardiotocography,jungle_chess_2pcs_raw_endgame_complete,9.44612013560987
cardiotocography,leaf,7.15925765352387
cardiotocography,led-display-domain-7digit,7.411669409062474
cardiotocography,mfeat-factors,4.798278337989466
cardiotocography,mfeat-fourier,4.623792048783439
cardiotocography,mfeat-karhunen,5.646069555650606
cardiotocography,mfeat-morphological,5.262629870656628
cardiotocography,mfeat-pixel,6.923958505510641
cardiotocography,microaggregation2,8.610188555132192
cardiotocography,nursery,6.417601770455199
cardiotocography,page-blocks,6.905178188973965
cardiotocography,pokerhand,9.659390707856701
cardiotocography,popularkids,4.443042712994607
cardiotocography,prnn_fglass,4.675401338469377
cardiotocography,prnn_viruses,3.0789187466220604
cardiotocography,rmftsa_sleepdata,4.454005757924145
cardiotocography,robot-failures-lp1,5.94056641097642
cardiotocography,robot-failures-lp5,6.531661555996236
cardiotocography,satimage,8.281169478495801
cardiotocography,seeds,5.170312012628157
cardiotocography,segment,6.3211346753773565
cardiotocography,seismic-bumps,5.170312012628157
cardiotocography,semeion,5.728683146325882
cardiotocography,shuttle,9.657182942232714
cardiotocography,spectrometer,6.0023371416168025
cardiotocography,steel-plates-fault,5.33575434393224
cardiotocography,synthetic_control,6.912400820982597
cardiotocography,tae,5.442857762455556
cardiotocography,tamilnadu-electricity,8.869525809553377
cardiotocography,teachingassistant,5.334883547149419
cardiotocography,thyroid-allbp,6.254726917816117
cardiotocography,thyroid-allhyper,6.254726917816117
cardiotocography,user-knowledge,4.161295735759066
cardiotocography,vehicle,4.025002110130094
